ind_Latn,sun_Latn
"Congkrang adalah alat-alat pertanian yang digunakan untuk memotong atau membersihkan semak-semak. Pada saat membersihkan semak selain membawa congkrang juga membawa sabit, parang, golok, cangkul dan koréd serta alat-alat yang sekiranya yang dibutuhkan untuk membersihkan tanah atau lahan sebelum dicangkul.","Congkrang nyaéta pakakas tatanén anu dipaké pikeun ngabukbak atawa ngababad reuma jeung rungkun. Mangsa ngabukbak reuma sagigireun congkrang sok dibawa ogé arit, parang, bedog, pacul katut koréd jeung pakakas séjéna anu sakira dibutuhkeun pikeun meresihan taneuh atawa lahan saméméh diolah (dipacul)."
Artikel ini adalah sebuah rintisan.,"Artikel ieu mangrupa taratas, perlu disampurnakeun."
Anda dapat membantu Wikipedia dengan mengembangkannya.,"Upami sadérék uninga langkung paos perkawis ieu, dihaturan kanggo ngalengkepan."
"Congkrang terbuat dari besi dengan gagang dari kayu atau Aluminium. Bentuknya seperti sabit hanya saja bagian tajamnya lebih panjang, besarnya seperti golok dengan ujungnya yang bengkok. Di daerah Lampung congkrang selalu disebut golok bengkok (candung kayok). Orang Nias nyebutna blewa, fungsinya sama yaitu untuk membersihkan semak-semak dalam upaya membuka lahan.","Congkrang dijieunna tina beusi gagangna tina kai atawa Aluminium. Wangunna kawas arit ngan seuseukeutna leuwih panjang, gedéna kawas bedog ngan tungtungna ngeluk. Di daérah lampung congkrang sok disebutna golok bengkok (candung kayok). Urang Nias nyebutna blewa, kagunaana mah sarua baé pikeun ngababad atawa ngabukbak rungkun jeung jujukutan."
Peralatan Produksi Tradisional dan Perkembangannya Daerah Lampung.,Peralatan Produksi Tradisional dan Perkembangannya Daerah Lampung. Jakarta: Direktorat Jenderal Kebudayaan.
"Hadits Jibril (bahasa Arab: حديث جبرائيل, Hadīts Jibraīl) adalah sebuah hadits yang memuat definisi tentang Islam, Iman, Ihsan, dan tanda-tanda hari kiamat menurut akidah umat Islam.","Hadits Jibril (bahasa Arab: حديث جبرائيل, Hadīts Jibraīl) mangrupakeun hadits yang memuat depinisi ngeunaan Islam, Iman, Ihsan, sarta tawis-tawis dinten kiamat nurutkeun umat Islam."
Hadits ini diriwayatkan dari sahabat Umar bin Al-Khaththab dan Abu Hurairah.,Hadits ieu diriwayatkeun ti sahabat Umar bin Al-Khaththab dan Abu Hurairah.
"Hadits ini dapat ditemukan di kedua kitab Shahihain, Sahih Bukhari dan Sahih Muslim, juga Arbain Nawawi hadits ke-2.","Hadits ieu tiasa kapanggih di kadua kitab Shahihain, Sahih Bukhari sarta Sahih Muslim, oge Arbain Nawawi hadits ke-2."
Tundra adalah suatu area bioma di mana pertumbuhan pohon terhambat dengan rendahnya suhu lingkungan sekitar karena itu disebut daerah tanpa pohon.,"Tundra nyaéta hiji bioma di mana tuwuhna tatangkalan kahambat ku leutikna suhu lingkungan sekitar, ku kituna disebut wewengkon tanpa tangkal."
Terdapat di wilayah bumi sebelah utara dan terdapat dipuncak gunung yang tinggi.,Aya di Bumi beulah kalér jeung puncak gunung nu luhur.
Iklim kutub dengan musim dingin yang panjang serta gelap dan musim panas yang panjang dan terang terus menerus serta memiliki curah hujan yang rendah.,Iklim kutub ku usum tirisna nu lila tur poék jeung usum panas nu lila jeung caang teterusan tur miboga curah hujan nu leutik.
"Pada area ini, mayoritas tumbuhan yang hidup biasanya berupa lumut atau vegetasi perintis, rerumputan, tumbuhan biji semusim, dan tumbuhan kayu yang pendek.","Dina aréa ieu, lolobana tutuwuhan nu hirup biasana mangrupa lumut atawa tutuwuhan perintis, jukut, tutuwuhan siki sausum, jeung tutuwuhan kai nu pendék."
Pertumbuhan tanaman di daerah ini hanya sekitar 4 bulan.,Tuwuhna tutuwuhan di daérah ieu ukur salila sakitar 4 bulan.
Daerah Penyebaran Bioma tundra merupakan bioma yang terdapat di daerah lingkar kutub utara dan sebagian kecil di selatan.,Wewengkon panyebaran bioma tundra nyaéta kuriling lingkar kutub kalér jeung sabagian leutik di kutub kidul.
"Di Kutub Utara, bioma ini terdapat di sekitar lingkar Artik, termasuk Greenland.","Di kutub kalér, kaasup Taneuh Héjo."
Sementara di Kutub Selatan terdapat di Antartika dan pulau-pulau kecil disekitarnya.,Di kutub kidul aya di Antarktika jeung pulo-pulo leutik di sakurilingna.
"Tundra di Arktik sangat luas, mencapai 20% permukaan tanah Bumi.","Tundra di Arktik rubak pisan, nepi ka 20% permukaan Bumi."
"Sabana di Wilayah Konservasi Ngorongoro, Tanzania.","Sabana di Wilayah Konsérvasi Ngorongoro, Tanzania."
"Sabana adalah padang rumput yang dipenuhi oleh semak / perdu dan diselingi oleh beberapa jenis pohon yang tumbuh menyebar, seperti palem dan akasia. Sistem biotik ini biasanya terbentuk di antara daerah tropis dan subtropis. Beberapa benua yang memiliki padang sabana di antaranya adalah Afrika, Amerika Selatan, dan Australia. Kurangnya curah hujan menjadi pendorong munculnya sabana. Sehingga sabana dikenal juga padang rumput tropis. Iklimnya tidak terlalu kering untuk menjadi gurun pasir, tetapi tidak cukup basah untuk menjadi hutan.","Sabana nyaéta lapang jukut nu dipinuhan ku rungkun/perdu. Sistem biotik ieu biasana kabentuk di antara daérah tropis jeung subtropis. Sababaraha buana nu miboga lapang sabana di antarana Afrika, Amerika Selatan, jeung Australia. Saeutikna curah hujan jadi faktor nu ngadorong munculna sabana. ku kituna sabana di sebut ogé padang jukut tropis. Iklimna teu garing teuing pikeun jadi gurun pasir, nanging teu baseuh teuing pikeun jadi leuweung."
Saudah binti Zam'ah bin Qais bin Abdul Wad (bahasa Arab: سودة بنت زمعة بن قيس بن عبد ود) adalah istri Nabi Muhammad.,Saodah binti Zam'ah bin Qais bin Abdul Wad (bahasa Arab: سودة بنت زمعة بن قيس بن عبد ود) adalah garwa Nabi Muhammad.
"Aisyah binti Abu Bakar (bahasa Arab: عائشة, transliterasi: `ā'isha, Turki Ayşe, Turki Utsmani Âişe) (sekitar 613/614-678 Masehi) adalah istri dari Nabi Islam Muhammad.","Aisyah binti Abu Bakar (bahasa Arab: عائشة, transliterasi: `ā'isha, Turki Ayşe, Turki Utsmani Âişe) (sekitar 613/614-678 Masehi) ngarupikeun garwa atanapi istri Nabi Islam Muhammad."
Hafshah binti Umar (Arab:حفصة بنت عمر) adalah salah seorang istri Muhammad.,Hafshoh binti Umar (Arab:حفصة بنت عمر) ngarupikeun salah sawios istri Nabi Muhammad s.a.w.
Ia seorang janda dari seorang pria bernama Khunais bin Hudhafah al-Sahmiy yang meninggal dunia saat Perang Badar.,Anjeuna rangda ti sohabat Khunais bin Hudhafah al-Sahmiy r.a. anu gugur dina Perang Badar.
"Gunungrejo adalah sebuah desa di wilayah Kecamatan Way Ratai, Kabupaten Pesawaran, Provinsi Lampung, Indonesia.","Gunungrejo nyaéta désa di subdistrict Way Ratai, Pesawaran District, Province Lampung, Indonésia."
Pranala Luar,Tumbu kaluar
"Museum Nasional Republik Indonesia atau Museum Gajah, adalah sebuah museum yang terletak di Jakarta Pusat dan persisnya di Jalan Merdeka Barat 12.","Museum Nasional Republik Indonésia atawa Museum Gajah, mangrupakeun hiji museum anu lokasina di Jakarta Pusat persisna di Jalan Merdéka Barat 12."
Museum ini merupakan museum pertama dan terbesar di Asia Tenggara.,Museum iie ngarupakeun museum mimiti jeung panggedéna di Asia Tenggara.
Sejarah Museum Nasional,Sajarah Museum Nasional
"Cikal bakal museum ini lahir tahun 1778, tepatnya tanggal 24 April, pada saat pembentukan Bataviaasch Genootschap van Kunsten en Wetenschappen.","Cikal bakalna ieu museum ngadeg tahun 1778, pasna tanggal 24 April, bareng jeung ngadegna Bataviaasch Genootschap van Kunsten en Wetenschappen."
"J.C.M. Radermacher, ketua perkumpulan, menyumbang sebuah gedung yang bertempat di Jalan Kalibesar beserta dengan koleksi buku dan benda-benda budaya yang nanti menjadi dasar untuk pendirian museum.","J.C.M. Radermacher, kokojo pagempungan, nyumbang hiji gedong anu tempatna di Jalan Kalibesar kalayan koléksi buku jeung barang-barang budaya ."
"Pada masa pemerintahan Inggris (1811-1816), Sir Thomas Stamford Raffles yang juga merupakan direktur dari Bataviaasch Genootschap van Kunsten en Wetenschappen memerintahkan pembangunan gedung baru yang terletak di Jalan Majapahit No. 3. Gedung ini digunakan sebagai museum dan ruang pertemuan untuk Literary Society (dahulu bernama ""Societeit de Harmonie"".) Lokasi gedung ini sekarang menjadi bagian dari kompleks Sekretariat Negara.","Dina mangsa pamaréntahan Inggris (1811-1816), Sir Thomas Stamford Raffles anu ogé ngarupakeun diréktur di Bataviaasch Genootschap van Kunsten en Wetenschappen maréntahkeun ngawangun geduog anyar di Jalan Majapahit No. 3."
"Setelah kemerdekaan Indonesia, Lembaga Kebudayaan Indonesia yang mengelola menyerahkan museum tersebut kepada pemerintah Republik Indonesia, tepatnya pada tanggal 17 September 1962.","Sabada kamerdékaan Indonésia, Lembaga Kebudayaan Indonesia anu ngurus museum kasebut ka pamaréntah Républik Indonésia, tanggal 17 Septémber 1962."
"Sejak itu pengelolaan museum dilakukan oleh Direktorat Jenderal Kebudayaan, di bawah Kementerian Pendidikan dan Kebudayaan.","Ti mimiti harita museum diurus ku Diréktorat Jénderal Kabudayaan, Kamenterian Pendidikan jeung Kebudayaan."
"Mulai tahun 2005, Museum Nasional berada di bawah pengelolaan Kementerian Kebudayaan dan Pariwisata sehubungan dengan dipindahnya Direktorat Jenderal Kebudayaan ke lingkungan kementerian tersebut.","Taun 2005, Museum Nasional diurus ku Kamenterian Kabudayaan jeung Pariwisata."
